date,congress,url,member_id,member,party,roll_call,session,type
9/21/12,112,http://beta.congress.gov/congressional-record/2012/09/21/extensions-of-remarks-section/article/E1646-4,H001059,HULTGREN,R,590,2,passage
7/31/12,112,http://beta.congress.gov/congressional-record/2012/07/31/extensions-of-remarks-section/article/E1365-2,S000248,SERRANO,D,531,2,amendment
7/11/12,112,http://beta.congress.gov/congressional-record/2012/07/11/extensions-of-remarks-section/article/E1232-3,P000593,PERLMUTTER,D,430,2,amendment
7/9/12,112,http://beta.congress.gov/congressional-record/2012/07/09/extensions-of-remarks-section/article/E1203-4,D000612,DENHAM,R,434,2,amendment
7/9/12,112,http://beta.congress.gov/congressional-record/2012/07/09/extensions-of-remarks-section/article/E1203-4,D000612,DENHAM,R,435,2,amendment
6/25/12,112,http://beta.congress.gov/congressional-record/2012/06/25/extensions-of-remarks-section/article/E1131-3,A000210,ANDREWS,D,395,2,amendment
6/6/12,112,http://beta.congress.gov/congressional-record/2012/06/06/extensions-of-remarks-section/article/E1001-2,B001273,BLACK,R,311,2,amendment
6/1/12,112,http://beta.congress.gov/congressional-record/2012/06/01/extensions-of-remarks-section/article/E946-2,S000510,SMITH OF WASHINGTON,D,215,2,amendment
6/1/12,112,http://beta.congress.gov/congressional-record/2012/06/01/extensions-of-remarks-section/article/E948-2,B001260,BUCHANAN,R,302,2,amendment
6/1/12,112,http://beta.congress.gov/congressional-record/2012/06/01/extensions-of-remarks-section/article/E962-2,R000582,ROE OF TENNESSEE,R,303,2,amendment
6/1/12,112,http://beta.congress.gov/congressional-record/2012/06/01/extensions-of-remarks-section/article/E965-2,H001057,HUELSKAMP,R,302,2,amendment
5/31/12,112,http://beta.congress.gov/congressional-record/2012/05/31/extensions-of-remarks-section/article/E934-1,L000569,LUETKEMEYER,R,229,2,amendment
5/18/12,112,http://beta.congress.gov/congressional-record/2012/05/18/house-section/article/H3148-3,E000288,ELLISON,D,270,2,amendment
5/18/12,112,http://beta.congress.gov/congressional-record/2012/05/18/extensions-of-remarks-section/article/E876-3,M000725,MILLER OF CALIFORNIA,D,215,2,amendment
5/16/12,112,http://beta.congress.gov/congressional-record/2012/05/16/house-section/article/H2787-1,S001157,SCOTT OF GEORGIA,D,253,2,procedural
5/11/12,112,http://beta.congress.gov/congressional-record/2012/05/11/extensions-of-remarks-section/article/E782-1,E000215,ESHOO,D,210,2,amendment
5/10/12,112,http://beta.congress.gov/congressional-record/2012/05/10/extensions-of-remarks-section/article/E776-1,O000169,OWENS,D,215,2,amendment
5/9/12,112,http://beta.congress.gov/congressional-record/2012/05/09/extensions-of-remarks-section/article/E742-3,B001232,BIGGERT,R,214,2,amendment
5/9/12,112,http://beta.congress.gov/congressional-record/2012/05/09/extensions-of-remarks-section/article/E744-3,L000562,LYNCH,D,220,2,amendment
5/9/12,112,http://beta.congress.gov/congressional-record/2012/05/09/extensions-of-remarks-section/article/E747-3,H000627,HINCHEY,D,215,2,amendment
5/9/12,112,http://beta.congress.gov/congressional-record/2012/05/09/extensions-of-remarks-section/article/E747-6,G000558,GUTHRIE,R,233,2,amendment
4/24/12,112,http://beta.congress.gov/congressional-record/2012/04/24/extensions-of-remarks-section/article/E629-1,E000215,ESHOO,D,170,2,passage
4/18/12,112,http://beta.congress.gov/congressional-record/2012/04/18/extensions-of-remarks-section/article/E568-3,S001155,SULLIVAN,R,159,2,amendment
4/18/12,112,http://beta.congress.gov/congressional-record/2012/04/18/extensions-of-remarks-section/article/E577-4,B000574,BLUMENAUER,D,,2,amendment
